Time (ms),Type,Order ID,Size,Price,Direction,,Ask Price 1,Ask Size 1,Bid Price 1,Bid Size 1,,Price (plot),Ask Price 1 (plot),Ask Size 1 (plot),Bid Price 1 (plot),Bid Size 1 (plot)
34213.32426,1,17121862,100,2240900,1,,2239500,20,2240900.00,287,,224.09,223.95,20,224.09,287
34215.15212,1,17169116,100,2240900,1,,2239500,20,2240900.00,387,,224.09,223.95,20,224.09,387
34215.18045,1,17170140,100,2240900,1,,2239500,20,2240900.00,487,,224.09,223.95,20,224.09,487
34215.77822,4,11561639,20,2242400,-1,,2239500,100,2240900.00,487,,224.24,223.95,100,224.09,487
34215.77822,4,14665565,80,2242500,-1,,2239500,20,2240900.00,487,,224.25,223.95,20,224.09,487
34217.85283,4,14665565,20,2242500,-1,,2239500,500,2240900.00,487,,224.25,223.95,500,224.09,487
34217.88766,5,0,220,2242700,-1,,2239500,500,2240900.00,487,,224.27,223.95,500,224.09,487
34219.12771,4,17209080,10,2242900,-1,,2239500,490,2240900.00,487,,224.29,223.95,490,224.09,487
34219.37665,4,17209080,200,2242900,-1,,2239500,290,2240900.00,487,,224.29,223.95,290,224.09,487
34219.51685,4,17209080,200,2242900,-1,,2239500,90,2240900.00,487,,224.29,223.95,90,224.09,487
34219.5171,1,17329820,100,2242900,-1,,2239500,190,2240900.00,487,,224.29,223.95,190,224.09,487
34219.52994,5,0,80,2242800,-1,,2239500,190,2240900.00,487,,224.28,223.95,190,224.09,487
34220.23316,1,17358208,77,2240900,1,,2239500,190,2240900.00,564,,224.09,223.95,190,224.09,564
34220.30313,3,17329820,100,2242900,-1,,2239500,90,2240900.00,564,,224.29,223.95,90,224.09,564
34220.30313,3,17209080,90,2242900,-1,,2239500,500,2240900.00,564,,224.29,223.95,500,224.09,564
34220.32146,3,17121862,100,2240900,1,,2239500,500,2240900.00,464,,224.09,223.95,500,224.09,464
34220.53411,1,17365824,1,2243000,-1,,2239500,501,2240900.00,464,,224.3,223.95,501,224.09,464
34221.5968,4,3579342,100,2243000,-1,,2239500,401,2240900.00,464,,224.3,223.95,401,224.09,464
34222.16529,4,3579342,100,2243000,-1,,2239500,301,2240900.00,464,,224.3,223.95,301,224.09,464
34223.27963,4,3579342,100,2243000,-1,,2239500,201,2240900.00,464,,224.3,223.95,201,224.09,464
34223.28024,4,3579342,80,2243000,-1,,2239500,121,2240900.00,464,,224.3,223.95,121,224.09,464
34223.28054,4,3579342,100,2243000,-1,,2239500,21,2240900.00,464,,224.3,223.95,21,224.09,464
34223.28064,4,3579342,20,2243000,-1,,2239500,1,2240900.00,464,,224.3,223.95,1,224.09,464
34223.28064,4,17365824,1,2243000,-1,,2239500,100,2240900.00,464,,224.3,223.95,100,224.09,464
34223.36746,4,16451084,100,2244500,-1,,2239500,100,2240900.00,464,,224.45,223.95,100,224.09,464
34223.36771,1,17454308,100,2244500,-1,,2239500,100,2240900.00,464,,224.45,223.95,100,224.09,464
34226.01871,1,17523948,100,2244500,-1,,2239500,200,2240900.00,464,,224.45,223.95,200,224.09,464
34226.0254,1,17524292,100,2240900,1,,2239500,200,2240900.00,564,,224.09,223.95,200,224.09,564
34226.02753,3,17524292,100,2240900,1,,2239500,200,2240900.00,464,,224.09,223.95,200,224.09,464
34227.23865,1,17556978,100,2244500,-1,,2239500,300,2240900.00,464,,224.45,223.95,300,224.09,464
34228.0066,3,17523948,100,2244500,-1,,2239500,200,2240900.00,464,,224.45,223.95,200,224.09,464
34228.06836,5,0,93,2244400,-1,,2239500,200,2240900.00,464,,224.44,223.95,200,224.09,464
34228.39788,5,0,25,2244400,-1,,2239500,200,2240900.00,464,,224.44,223.95,200,224.09,464
34228.60901,3,17556978,100,2244500,-1,,2239500,100,2240900.00,464,,224.45,223.95,100,224.09,464
34228.61104,1,17654389,100,2244500,-1,,2239500,200,2240900.00,464,,224.45,223.95,200,224.09,464
34228.61156,3,17118179,100,2240900,1,,2239500,200,2240900.00,364,,224.09,223.95,200,224.09,364
34228.61314,1,17654460,100,2240900,1,,2239500,200,2240900.00,464,,224.09,223.95,200,224.09,464
34228.61402,3,17654460,100,2240900,1,,2239500,200,2240900.00,364,,224.09,223.95,200,224.09,364
34229.06498,1,17669020,100,2240900,1,,2239500,200,2240900.00,464,,224.09,223.95,200,224.09,464
34229.06721,3,17669020,100,2240900,1,,2239500,200,2240900.00,364,,224.09,223.95,200,224.09,364
34229.32431,3,17358208,77,2240900,1,,2239500,200,2240900.00,287,,224.09,223.95,200,224.09,287
34229.34364,1,17678897,77,2241000,1,,2239500,200,2241000.00,77,,224.1,223.95,200,224.1,77
34229.34512,1,17678938,100,2241000,1,,2239500,200,2241000.00,177,,224.1,223.95,200,224.1,177
34229.35054,3,17678938,100,2241000,1,,2239500,200,2241000.00,77,,224.1,223.95,200,224.1,77
34229.35625,1,17679258,100,2241000,1,,2239500,200,2241000.00,177,,224.1,223.95,200,224.1,177
34229.85305,1,17693590,87,2241000,1,,2239500,200,2241000.00,264,,224.1,223.95,200,224.1,264
34229.93141,1,17695622,100,2241100,1,,2239500,200,2241100.00,100,,224.11,223.95,200,224.11,100
34229.93295,1,17695670,100,2241100,1,,2239500,200,2241100.00,200,,224.11,223.95,200,224.11,200
34230.01376,1,17700167,87,2241100,1,,2239500,200,2241100.00,287,,224.11,223.95,200,224.11,287
34230.47807,1,17720413,100,2241100,1,,2239500,200,2241100.00,387,,224.11,223.95,200,224.11,387
34230.68975,5,0,100,2241800,1,,2239500,200,2241100.00,387,,224.18,223.95,200,224.11,387
34232.51386,5,0,200,2241400,1,,2239500,200,2241100.00,387,,224.14,223.95,200,224.11,387
34232.51386,5,0,100,2241300,1,,2239500,200,2241100.00,387,,224.13,223.95,200,224.11,387
34232.5202,3,17695670,100,2241100,1,,2239500,200,2241100.00,287,,224.11,223.95,200,224.11,287
34232.52181,1,17791392,100,2241500,1,,2239500,200,2241500.00,100,,224.15,223.95,200,224.15,100
34232.57369,1,17794177,100,2242900,1,,2239500,200,2242900.00,100,,224.29,223.95,200,224.29,100
34232.57382,4,17794177,100,2242900,1,,2239500,200,2241500.00,100,,224.29,223.95,200,224.15,100
34232.57476,3,17791392,100,2241500,1,,2239500,200,2241100.00,287,,224.15,223.95,200,224.11,287
34232.6553,3,17720413,100,2241100,1,,2239500,200,2241100.00,187,,224.11,223.95,200,224.11,187
34232.67215,1,17796697,100,2241500,1,,2239500,200,2241500.00,100,,224.15,223.95,200,224.15,100
34232.93573,1,17802947,87,2241500,1,,2239500,200,2241500.00,187,,224.15,223.95,200,224.15,187
34233.07568,1,17808169,100,2241800,1,,2239500,200,2241800.00,100,,224.18,223.95,200,224.18,100
34233.08545,3,17808169,100,2241800,1,,2239500,200,2241500.00,187,,224.18,223.95,200,224.15,187
34233.22183,3,17802947,87,2241500,1,,2239500,200,2241500.00,100,,224.15,223.95,200,224.15,100
34233.22183,1,17813325,87,2241800,1,,2239500,200,2241800.00,87,,224.18,223.95,200,224.18,87
34233.25663,3,17813325,87,2241800,1,,2239500,200,2241100.00,100,,224.18,223.95,200,224.11,100
34233.25663,1,17814130,87,2241700,1,,2239500,200,2241700.00,87,,224.17,223.95,200,224.17,87
34233.40822,3,17814130,87,2241700,1,,2239500,200,2241100.00,100,,224.17,223.95,200,224.11,100
34233.40822,1,17822817,87,2241500,1,,2239500,200,2241500.00,87,,224.15,223.95,200,224.15,87
34233.41783,1,17823745,100,2241800,1,,2239500,200,2241800.00,100,,224.18,223.95,200,224.18,100
34233.43259,1,17824285,100,2241800,1,,2239500,200,2241800.00,200,,224.18,223.95,200,224.18,200
34233.47389,3,17823745,100,2241800,1,,2239500,200,2241800.00,100,,224.18,223.95,200,224.18,100
34233.61914,1,17831626,100,2242100,1,,2239500,200,2242100.00,100,,224.21,223.95,200,224.21,100
34233.62823,3,17831626,100,2242100,1,,2239500,200,2241800.00,100,,224.21,223.95,200,224.18,100
34233.62973,3,17824285,100,2241800,1,,2239500,200,2241500.00,100,,224.18,223.95,200,224.15,100
34233.62973,1,17832110,100,2242100,1,,2239500,200,2242100.00,100,,224.21,223.95,200,224.21,100
34233.76491,1,17835914,100,2242400,1,,2239500,200,2242400.00,100,,224.24,223.95,200,224.24,100
34233.76978,1,17836088,100,2242400,1,,2239500,200,2242400.00,200,,224.24,223.95,200,224.24,200
34233.91557,5,0,38,2242500,1,,2239500,200,2242400.00,200,,224.25,223.95,200,224.24,200
34233.91565,5,0,29,2242500,1,,2239500,200,2242400.00,200,,224.25,223.95,200,224.24,200
34233.91565,4,17835914,100,2242400,1,,2239500,200,2242400.00,100,,224.24,223.95,200,224.24,100
34233.91565,4,17836088,71,2242400,1,,2239500,200,2242400.00,29,,224.24,223.95,200,224.24,29
34233.91578,4,17836088,29,2242400,1,,2239500,200,2241100.00,100,,224.24,223.95,200,224.11,100
34234.16404,1,17851126,100,2241500,1,,2239500,200,2241500.00,100,,224.15,223.95,200,224.15,100
34234.38448,1,17866270,300,2244200,-1,,2239500,300,2241500.00,100,,224.42,223.95,300,224.15,100
34234.38713,1,17866342,100,2244200,-1,,2239500,400,2241500.00,100,,224.42,223.95,400,224.15,100
